Property,Selected_degree,Selected_alpha,LOO_residual_n,LOO_RMSE,LOO_abs_residual_q90,LOO_abs_residual_q95,LOO_abs_residual_q97.5
Vp,1,100.0,119,215.82472579678074,321.7169155118282,396.2934534995645,443.3916554093133
Vs,3,10.0,80,125.35146416402682,180.5458413659432,220.47907311399277,228.16645776704937
RHOB,1,10.0,119,0.01710102856684961,0.02657892209897233,0.03936695464696002,0.043358390119375506
