Property,degree,alpha,mean_LOO_nRMSE,max_LOO_nRMSE
Vp,1,100.0,1.0851327820845387,1.2252030804693794
Vs,3,10.0,1.053598696762297,1.3374408317916082
RHOB,1,10.0,0.24594223495130646,0.3720315112571105
