Property,F1A_samples_4m,R2,Pearson_r,RMSE,Bias_pred_minus_obs,Crosswell_LOO_RMSE,Empirical_95_halfwidth,Heldout_coverage_empirical95,Heldout_coverage_Gaussian95
Vp,17,0.2502045975460304,0.8393249793491075,303.0430155674759,-73.72923638994577,215.82472579678074,396.2934534995645,0.8823529411764706,0.8823529411764706
Vs,17,0.3559989056578591,0.8285276417902182,227.00190856812986,-19.049097995111666,125.35146416402682,220.47907311399277,0.7647058823529411,0.7647058823529411
RHOB,17,0.9444175775732151,0.9950671242800295,0.019974439790683272,0.0095178669451353,0.01710102856684961,0.03936695464696002,1.0,1.0
