DEPTH,PHIF,VSH,SW,Vp_obs,Vp_pred,Vp_LOO_q95,Vs_obs,Vs_pred,Vs_LOO_q95,RHOB_obs,RHOB_pred,RHOB_LOO_q95
3436.95,0.17886,0.17208,0.8827575,3832.128243595821,3798.262703251773,396.2934534995645,2385.6520393927394,2257.778053646472,220.47907311399277,2.3369875,2.358678959138582,0.03936695464696002
3440.95,0.11152999999999999,0.17304999999999998,0.5896375,4310.668266924053,3867.249414322728,396.2934534995645,2622.701144917868,2329.9191608827664,220.47907311399277,2.4549,2.4397223826837604,0.03936695464696002
3444.95,0.184395,0.2065075,0.8411,3628.3097364182017,3777.1021271334735,396.2934534995645,2212.9822971286467,2226.5215319779254,220.47907311399277,2.3273275,2.34936819799301,0.03936695464696002
3448.95,0.1619975,0.2925775,0.8769075000000001,3635.0946673208223,3796.4653515305044,396.2934534995645,2220.3645167073123,2220.564360125628,220.47907311399277,2.3664975,2.3866185821161605,0.03936695464696002
3452.95,0.12676,0.40722500000000006,0.9175375000000001,3704.190573122266,3829.7475788915194,396.2934534995645,2241.6210935292584,2199.322102579783,220.47907311399277,2.42816,2.4436744347210952,0.03936695464696002
3456.95,0.2073525,0.078925,0.9252724999999999,3726.679139970575,3780.3191348361142,396.2934534995645,2258.577556988558,2248.627806254665,220.47907311399277,2.2871275,2.316815927301095,0.03936695464696002
3460.95,0.165095,0.11124749999999999,0.9611375000000001,3969.691573943285,3842.3508152470085,396.2934534995645,2354.3737970363923,2320.2620928690317,220.47907311399277,2.3610875,2.3811832675766365,0.03936695464696002
3464.95,0.12881,0.39024749999999997,0.9468724999999999,3786.438375288846,3833.8565818084453,396.2934534995645,2218.7995404939247,2210.1825568481704,220.47907311399277,2.42459,2.441831860740013,0.03936695464696002
3468.95,0.1141775,0.3935625,0.918135,3831.5718260918934,3852.26480323173,396.2934534995645,2143.4930079324945,2226.3377145002905,220.47907311399277,2.4523275,2.461531008800538,0.03936695464696002
3472.95,0.0847925,0.2670625,0.9993124999999999,3870.5404199374084,3935.4927332112566,396.2934534995645,2175.15611959507,2347.7864674020257,220.47907311399277,2.5152200000000002,2.5047800291701345,0.03936695464696002
3476.95,0.1517825,0.43194999999999995,0.96326,3529.2802315266017,3791.036146514582,396.2934534995645,1708.4348030378774,2141.2871097632615,220.47907311399277,2.3843725,2.4107537926740497,0.03936695464696002
3480.95,0.181895,0.3373875,0.9681075,3522.969211300965,3766.482927059443,396.2934534995645,1746.5866036321713,2157.309479161052,220.47907311399277,2.3316775,2.3643540634661604,0.03936695464696002
3484.95,0.08054,0.262015,0.939555,4104.284228822817,3936.14593146036,396.2934534995645,2356.152911946359,2347.158537160072,220.47907311399277,2.52434,2.5073918414640484,0.03936695464696002
3488.95,0.045565,0.2303825,0.8965725000000001,4960.410690126964,3992.058554607504,396.2934534995645,2928.1657750278273,2382.5580756879062,220.47907311399277,2.5725075,2.5546888450647645,0.03936695464696002
3492.95,0.160895,0.2988,0.9691124999999999,3851.936452375994,3807.611807086243,396.2934534995645,2193.3855781888783,2224.371893061873,220.47907311399277,2.3684275,2.3936579437540924,0.03936695464696002
3496.95,0.075375,0.21671,0.9470075,4239.928090592695,3955.157171110794,396.2934534995645,2564.1873795640035,2376.0877244377316,220.47907311399277,2.5202225,2.5138769573842383,0.03936695464696002
3499.6000000000004,0.060430769230769225,0.3364692307692308,0.8334692307692309,4248.782365977673,3937.9032934043244,396.2934534995645,2520.5377341661692,2311.2625670099983,220.47907311399277,2.5442384615384617,2.532886605557383,0.03936695464696002
