Scenario,Scale_m,lambda1_Q,lambda2_Q,lambda3_Q,A1_Q,A2_Q,A3_Q
Correct scale,4.0,993.0642476200107,392.122793856763,2.4733361865717693,0.9989940288040796,0.9974562655342637,0.7120923670256596
Moderate mismatch,5.0,925.2752724788498,373.4295335292487,2.2920051550734675,0.9989204073241382,0.9973292705023177,0.6962337685107048
Strong mismatch,7.0,776.8272176962063,325.4782145098841,1.8123715126800595,0.9987143674363032,0.9969370084876835,0.6444282003670823
