Surrogate,Scale_m,lambda1_Q,lambda2_Q,lambda3_Q,A1_Q,A2_Q,A3_Q,Aphi_Q,AVsh_Q,ASw_Q,deff_fixed,deff_Q,deff_loss,scale_fraction_fro
Reference cubic a=0.1,4.0,985.3711040406824,392.7474004794017,2.4886774674218524,0.9989861827907331,0.9974603006933317,0.7133584261261605,0.9955399543733809,0.7194966898418722,0.9947682653949791,2.7272707143816066,2.709804909610232,0.017465804771374493,0.04363792544137169
Reference cubic a=0.1,5.0,779.584935759769,302.9098287974837,1.9573221242961598,0.9987189094303662,0.9967095503164316,0.6618562476558082,0.9946694259365089,0.6687024945116307,0.9939127869544687,2.6789695428336797,2.6572847074026082,0.02168483543107147,0.0525327316212418
Reference cubic a=0.1,7.0,450.66576903528255,163.1367689776549,1.0895931050809486,0.9977859734596759,0.9939075198919254,0.5214379308735032,0.9916842690266439,0.5298869395393683,0.991560215659078,2.5427381820519264,2.51313142422509,0.029606757826836194,0.07570334442967988
Linear a=10,4.0,274.95150082175735,39.737812229896335,2.0137276759456437,0.9963761748096238,0.9754527809604334,0.6681850161905484,0.9945734179437462,0.9132494687670872,0.7321910852497702,2.6590390542738787,2.6400139719606037,0.019025082313274932,0.07750846874277424
Linear a=10,5.0,204.6322978547823,30.44786565473225,1.3909837280180306,0.9951369507104074,0.9682013396082567,0.5817621055794743,0.9926719210036418,0.8886982353125036,0.6637302395819956,2.564722974560187,2.545100395898141,0.019622578662045864,0.10216894821581973
Linear a=10,7.0,102.56114593166376,14.39602771547833,0.5882650728971859,0.9903438689191421,0.9350481813568928,0.3703821754539498,0.9847849260506069,0.8110175829719913,0.49997171670737983,2.3235659917970954,2.295774225729978,0.027791766067117418,0.15217751119905396
Quadratic a=10,4.0,231.9214422089064,17.6025283321492,0.5832890446894782,0.9957067069887747,0.9462438663097326,0.36840338575315257,0.969576793251677,0.9468527305750696,0.39392443522491405,2.3343802818956587,2.3103539590516604,0.024026322843998305,0.018686507818153713
Quadratic a=10,5.0,176.374627627571,13.191964742542693,0.4261225287185575,0.9943622150846756,0.9295375927053751,0.2987979785309541,0.9644487256788308,0.9309488133762407,0.3273002472659248,2.2487500324300638,2.2226977863209965,0.026052246109067312,0.026116010326165718
Quadratic a=10,7.0,93.37895507534306,5.846303291851108,0.20005169874870501,0.9894044175504836,0.853935772727121,0.16670256702881975,0.9489662985159033,0.8594070153015735,0.2016694434889474,2.066339836341493,2.010042757306424,0.056297079035068975,0.045737311670714625
Cubic a=10,4.0,170.83781590605304,12.570657973405194,2.425087825325817,0.9941805591817652,0.9263116053798034,0.7080366837294535,0.9781490276639863,0.7525175155345608,0.8978623050924739,2.643541816827929,2.6285288482910207,0.015012968536908478,0.03768462380393705
Cubic a=10,5.0,132.37603098255357,9.464348214854688,1.7235903252164317,0.9925024009738991,0.9044374308396534,0.6328375854689033,0.9713288500245739,0.6895446684885125,0.8689038987693691,2.554357685576515,2.5297774172824554,0.02458026829405968,0.04451606296099223
Cubic a=10,7.0,73.01818495498603,4.63503712559972,0.7215284163317184,0.9864898065170317,0.8225388799202324,0.4191208286118051,0.9507253141717161,0.4958158519829977,0.7816083488943549,2.298301775182161,2.228149515049069,0.07015226013309217,0.0727221854701563
Transfer-regularized mixed,4.0,89.72534212201346,12.781001298752138,1.6782181455132053,0.9889777213663726,0.9274363322140787,0.6266174203638748,0.9881804125616168,0.7606488923294626,0.794202169053246,2.559577624727546,2.5430314739443256,0.016546150783220526,0.09428664587287848
Transfer-regularized mixed,5.0,66.42266725481959,9.975025818796526,1.2269400859048227,0.9851681928242239,0.9088840412304692,0.5509533434108119,0.9838095316946998,0.7099166991835241,0.7512793465872817,2.4661541698291685,2.4450055774655057,0.021148592363662733,0.12120273801428681
Transfer-regularized mixed,7.0,32.47222740021291,5.102112843604988,0.5786760611322197,0.9701244859493982,0.8361223357172098,0.36655782359630873,0.9647185865737604,0.564627017166468,0.6434590415226893,2.227114838912713,2.172804645262918,0.05431019364979495,0.17977724745652504
