Scale_m,run,parameter,true,MAP,Posterior_mean,Posterior_SD,Laplace_SD,Skewness,Q025,Q975,Rhat,ESS,Acceptance_mean
4.0,46,u_phi,0.6,0.6901868962050183,0.6854902927981612,0.07264442019102427,0.07201267302350046,0.22578830411305137,0.5531339852403445,0.8399783476823335,1.001086684677097,511.9892482749328,0.2710869565217391
4.0,46,u_Vsh,-0.5,-0.8589270025517948,-0.6121755210457527,0.7920769594906872,0.5677793940903866,0.5507528822809205,-1.8549703795912196,1.0155929860464488,1.0007118100079773,232.75535590387253,0.2710869565217391
4.0,46,u_Sw,0.25,0.1782261044425591,0.19860231720657548,0.06869603210480475,0.06708198014474694,0.0536512128661461,0.07200754921342314,0.329488887962678,1.0021976574174523,445.8228961666442,0.2710869565217391
4.0,46,eta,0.0,-0.028936989819125507,-0.02788950197499818,0.02160348882851732,0.02131715566061392,-0.22330460605631536,-0.07252887293974783,0.01150707225720217,1.001755161015504,583.6753107944442,0.2710869565217391
7.0,15,u_phi,0.6,0.6139454608873652,0.6057118993323749,0.104114372356971,0.08159620472593658,-0.1563918831806733,0.3915707830299958,0.7964967785208235,1.0014702278776486,418.188312743839,0.25282608695652176
7.0,15,u_Vsh,-0.5,-0.00706534578513565,0.05321545562415198,0.8008723745071595,0.6215366673865496,-0.024737666696464027,-1.567229727600967,1.599667237657209,1.0059449557361497,303.33572681418156,0.25282608695652176
7.0,15,u_Sw,0.25,0.2728754091195783,0.2790543187750028,0.09869709952341266,0.09773948471152602,0.02598366041557811,0.09936309196139806,0.46069148492262557,1.000637300894232,445.82217846954927,0.25282608695652176
7.0,15,eta,0.5596157879354227,0.560662574418573,0.559884169670858,0.01458206882561041,0.015578768479206055,0.06799217269083568,0.5312946193915257,0.5888006799317882,1.003359695932979,500.58100884373886,0.25282608695652176
