Scale_m,Method,N,RMSE_u,Median_RMSE_u,Bias_norm_of_mean,Coverage_q1,Coverage_q2,Coverage_q3,Mean_eta_hat,SD_eta_hat,True_eta,Success_rate,Mean_WRMS,Nonzero_start_win_rate,Mean_objective_gain_vs_zero_start,Median_objective_gain_vs_zero_start
4.0,Fixed-scale MAP,50,0.32770863178845994,0.16537222957283731,0.16768340371675564,0.92,0.92,0.76,,,0.0,0.98,0.9968937510110814,0.58,0.10729511978677238,2.556985805313161e-07
4.0,SQ-IGPI joint nuisance,50,0.3432106963085445,0.2078908448777747,0.18866554102035485,0.92,0.94,0.74,0.0007408936912542079,0.0210696547072698,0.0,1.0,0.9965338074588372,0.66,0.0817758777833069,2.1329384480850422e-07
5.0,Fixed-scale MAP,50,0.4844244925968582,0.36596881666516984,0.20616313577494713,0.28,0.82,0.8,,,0.22314355131420976,0.9,1.0527744974194322,0.84,3.3311963584602813,2.4075539733966593
5.0,SQ-IGPI joint nuisance,50,0.33580260193003814,0.23668705383472385,0.15221592849752805,0.96,0.98,0.84,0.2281139043241884,0.01575692520007035,0.22314355131420976,1.0,0.9990522721943009,0.52,0.28199332504322455,2.977208168886136e-07
7.0,Fixed-scale MAP,50,0.49539631715535964,0.48234580299513735,0.7837420497011244,0.02,0.9,0.84,,,0.5596157879354227,0.92,1.3642824628553374,0.98,16.293985000408124,16.38367370824858
7.0,SQ-IGPI joint nuisance,50,0.40835701605706687,0.28754186457639197,0.41682950756473924,0.96,0.94,0.88,0.56237858714654,0.011943563227222984,0.5596157879354227,1.0,1.00051785486343,0.8,0.14733451493144004,1.7026399063979625e-06
